,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
71,20200526,00:00:00,56400.0,56400.0,56400.0,56400.0,1
72,20200527,00:00:00,56400.0,56400.0,56400.0,56400.0,20
73,20200528,00:00:00,56500.0,56500.0,56500.0,56500.0,57
74,20200529,00:00:00,56500.0,56500.0,56500.0,56500.0,7
75,20200601,00:00:00,56500.0,56500.0,56500.0,56500.0,1
76,20200602,00:00:00,56700.0,56700.0,56700.0,56700.0,1
77,20200603,00:00:00,57600.0,57600.0,56650.0,56650.0,3
78,20200604,00:00:00,56700.0,56700.0,56700.0,56700.0,8
79,20200605,00:00:00,56600.0,56600.0,56600.0,56600.0,17
80,20200608,00:00:00,56500.0,56500.0,56400.0,56500.0,8
81,20200609,00:00:00,56500.0,56500.0,56500.0,56500.0,2
82,20200611,00:00:00,56600.0,56600.0,56600.0,56600.0,2
83,20200616,00:00:00,56300.0,56400.0,56300.0,56400.0,14
84,20200618,00:00:00,56700.0,56800.0,56700.0,56800.0,6
85,20200619,00:00:00,56800.0,56800.0,56800.0,56800.0,2
86,20200623,00:00:00,57000.0,57000.0,57000.0,57000.0,1
87,20200626,00:00:00,56800.0,56800.0,56800.0,56800.0,3
88,20200629,00:00:00,56800.0,56900.0,56800.0,56900.0,11
89,20200630,00:00:00,56900.0,56900.0,56900.0,56900.0,43
90,20200702,00:00:00,56800.0,56900.0,56800.0,56900.0,53
91,20200703,00:00:00,57000.0,57000.0,57000.0,57000.0,2
92,20200707,00:00:00,56900.0,56900.0,56900.0,56900.0,8
93,20200708,00:00:00,56900.0,56900.0,56900.0,56900.0,3
94,20200709,00:00:00,56900.0,56900.0,56800.0,56800.0,5
95,20200710,00:00:00,56900.0,56900.0,56900.0,56900.0,4
96,20200715,00:00:00,57000.0,57100.0,57000.0,57000.0,12
97,20200716,00:00:00,57100.0,57100.0,57100.0,57100.0,16
98,20200717,00:00:00,57100.0,57100.0,57100.0,57100.0,2
99,20200720,00:00:00,57100.0,57100.0,57100.0,57100.0,7
100,20200723,00:00:00,56300.0,56300.0,56300.0,56300.0,1
101,20200727,00:00:00,57400.0,57400.0,57300.0,57300.0,3
102,20200729,00:00:00,57300.0,57300.0,57300.0,57300.0,6
103,20200730,00:00:00,57300.0,57300.0,57300.0,57300.0,4
104,20200803,00:00:00,57000.0,57000.0,56900.0,56900.0,5
105,20200805,00:00:00,56900.0,57300.0,56900.0,57200.0,14
106,20200806,00:00:00,57400.0,57400.0,57400.0,57400.0,8
107,20200807,00:00:00,57400.0,57400.0,57400.0,57400.0,1
108,20200810,00:00:00,57400.0,57400.0,57400.0,57400.0,2
109,20200811,00:00:00,57500.0,57500.0,57500.0,57500.0,4
110,20200812,00:00:00,57200.0,57500.0,57200.0,57500.0,2
111,20200813,00:00:00,57700.0,57700.0,57400.0,57400.0,5
112,20200814,00:00:00,57300.0,57350.0,57300.0,57350.0,2
113,20200818,00:00:00,55000.0,55000.0,55000.0,55000.0,1
114,20200819,00:00:00,57300.0,57300.0,57300.0,57300.0,2
115,20200820,00:00:00,57200.0,57200.0,57200.0,57200.0,27
116,20200821,00:00:00,57400.0,57400.0,57400.0,57400.0,3
117,20200824,00:00:00,57300.0,57300.0,57300.0,57300.0,4
118,20200825,00:00:00,57300.0,57400.0,57300.0,57400.0,5
119,20200826,00:00:00,57300.0,57300.0,57200.0,57300.0,20
120,20200827,00:00:00,57000.0,57000.0,57000.0,57000.0,1
121,20200828,00:00:00,57300.0,57300.0,57300.0,57300.0,1
122,20200831,00:00:00,57400.0,57400.0,57300.0,57300.0,2
123,20200902,00:00:00,57300.0,57300.0,57300.0,57300.0,1
124,20200903,00:00:00,57300.0,57300.0,57300.0,57300.0,52
125,20200904,00:00:00,57250.0,57250.0,57250.0,57250.0,1
126,20200908,00:00:00,58200.0,58200.0,58200.0,58200.0,1
127,20200909,00:00:00,57400.0,57400.0,57400.0,57400.0,2
128,20200911,00:00:00,57300.0,57300.0,57300.0,57300.0,4
129,20200914,00:00:00,57500.0,57500.0,57400.0,57400.0,2
130,20200915,00:00:00,57500.0,57500.0,57500.0,57500.0,8
131,20200917,00:00:00,57500.0,57500.0,57500.0,57500.0,2
132,20200918,00:00:00,57250.0,57250.0,57250.0,57250.0,5
133,20200921,00:00:00,57300.0,57300.0,57300.0,57300.0,1
134,20200923,00:00:00,57600.0,57600.0,57600.0,57600.0,4
135,20200925,00:00:00,57600.0,57600.0,57600.0,57600.0,32
136,20200928,00:00:00,57550.0,57550.0,57550.0,57550.0,9
137,20201002,00:00:00,57600.0,57600.0,57600.0,57600.0,4
138,20201005,00:00:00,57700.0,57700.0,57700.0,57700.0,2
139,20201006,00:00:00,57500.0,57500.0,57500.0,57500.0,3
140,20201007,00:00:00,57700.0,57700.0,57700.0,57700.0,7
141,20201008,00:00:00,58550.0,58550.0,58550.0,58550.0,1
142,20201012,00:00:00,57700.0,57700.0,57700.0,57700.0,2
