,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
127,20190708,00:00:00,761.8,762.7,755.1,760.9,954100
128,20190709,00:00:00,758.5,765.0,748.7,753.6,1128520
129,20190710,00:00:00,754.0,755.2,745.2,748.0,874500
130,20190711,00:00:00,750.0,750.2,733.3,741.3,1125760
131,20190712,00:00:00,740.1,741.2,725.2,726.9,996740
132,20190715,00:00:00,728.1,731.9,717.5,717.5,790160
133,20190716,00:00:00,717.0,731.6,716.1,730.0,1800250
134,20190717,00:00:00,728.0,749.3,727.9,741.0,2851140
135,20190718,00:00:00,739.8,742.6,730.5,738.0,1720400
136,20190719,00:00:00,736.6,752.0,736.4,744.0,1680220
137,20190722,00:00:00,744.4,747.9,733.6,733.6,1005160
138,20190723,00:00:00,735.2,747.9,733.8,747.9,1799450
139,20190724,00:00:00,749.1,751.1,737.2,741.3,1628640
140,20190725,00:00:00,743.0,746.6,734.0,740.5,2183870
141,20190726,00:00:00,738.9,741.4,732.9,734.6,1532110
142,20190729,00:00:00,735.5,743.4,735.0,738.1,1235420
143,20190730,00:00:00,737.7,742.0,728.0,737.5,1389980
144,20190731,00:00:00,736.8,743.2,730.3,743.2,2553980
145,20190801,00:00:00,738.6,758.8,738.2,755.0,2536230
146,20190802,00:00:00,750.0,755.8,731.2,732.2,2248200
147,20190805,00:00:00,730.9,732.5,716.4,716.4,1697180
148,20190806,00:00:00,723.5,746.7,720.6,740.0,3475260
149,20190807,00:00:00,738.0,741.7,727.7,727.8,1515460
150,20190808,00:00:00,734.4,740.9,733.4,738.7,1290880
151,20190809,00:00:00,737.4,741.0,735.9,737.3,1009960
152,20190812,00:00:00,740.1,744.3,734.7,738.6,693090
153,20190813,00:00:00,736.0,739.7,721.1,729.0,2224870
154,20190814,00:00:00,729.3,732.3,706.0,709.4,1511140
155,20190815,00:00:00,711.8,717.8,702.5,702.5,1732300
156,20190816,00:00:00,705.7,713.8,702.2,705.0,1638020
157,20190819,00:00:00,709.6,717.5,706.1,712.8,1191590
158,20190820,00:00:00,716.2,724.0,714.5,721.1,1009560
159,20190821,00:00:00,722.9,726.0,717.1,718.6,1403650
160,20190822,00:00:00,718.2,722.3,715.6,717.6,1518320
161,20190823,00:00:00,718.0,721.5,715.1,718.1,1459770
162,20190826,00:00:00,715.0,725.3,711.0,716.9,1140750
163,20190827,00:00:00,719.1,720.0,704.1,720.0,6686310
164,20190828,00:00:00,721.0,724.2,716.0,717.9,2560450
165,20190829,00:00:00,717.9,724.6,716.9,723.6,1284920
166,20190830,00:00:00,723.9,743.1,723.1,743.1,2718610
167,20190902,00:00:00,744.0,751.8,742.1,747.7,1067481
168,20190903,00:00:00,746.3,749.8,737.1,746.0,1143450
169,20190904,00:00:00,749.8,754.0,740.0,740.0,2232754
170,20190905,00:00:00,743.6,749.1,739.8,743.7,1621717
171,20190906,00:00:00,743.7,753.0,736.5,753.0,1680728
172,20190909,00:00:00,754.1,757.8,748.7,752.8,1002156
173,20190910,00:00:00,752.8,752.8,743.0,746.7,2096817
174,20190911,00:00:00,747.0,752.5,745.4,749.0,1467463
175,20190912,00:00:00,747.9,748.0,736.0,738.6,2009749
176,20190913,00:00:00,736.0,739.9,727.5,733.3,1252246
177,20190916,00:00:00,743.1,761.5,738.4,759.9,5221015
178,20190917,00:00:00,752.9,768.2,747.4,756.1,4081305
179,20190918,00:00:00,756.0,758.9,751.0,753.0,1882184
180,20190919,00:00:00,752.1,754.9,741.9,741.9,2417939
181,20190920,00:00:00,741.7,748.7,739.0,748.7,3008703
182,20190923,00:00:00,746.1,749.5,737.3,743.4,2166056
183,20190924,00:00:00,742.7,744.9,730.0,734.3,2250514
184,20190925,00:00:00,729.1,740.0,726.1,740.0,3315619
185,20190926,00:00:00,704.3,709.7,699.2,704.9,1962172
186,20190927,00:00:00,705.0,708.3,697.5,697.5,1577661
187,20190930,00:00:00,698.8,701.7,687.4,687.4,2041676
188,20191001,00:00:00,689.0,700.9,688.0,694.9,1385822
189,20191002,00:00:00,695.0,695.7,686.0,688.8,1232244
190,20191003,00:00:00,688.1,688.2,671.2,676.3,1799128
191,20191004,00:00:00,682.3,694.5,678.4,681.5,1883788
192,20191007,00:00:00,684.5,694.2,680.1,691.5,985257
193,20191008,00:00:00,691.9,694.5,685.5,688.5,916247
194,20191009,00:00:00,688.7,697.2,687.1,690.5,1052000
195,20191010,00:00:00,691.5,701.6,687.6,698.4,923205
196,20191011,00:00:00,701.0,709.9,700.3,709.7,1176461
197,20191014,00:00:00,708.8,711.8,695.3,700.0,921234
198,20191015,00:00:00,700.0,703.0,694.2,700.8,1280263
199,20191016,00:00:00,700.6,710.9,699.6,708.9,1702015
200,20191017,00:00:00,708.0,708.0,702.2,707.3,1154731
201,20191018,00:00:00,705.3,710.0,704.1,706.8,1102926
202,20191021,00:00:00,707.9,721.9,704.8,721.9,1530095
203,20191022,00:00:00,720.0,738.0,718.0,738.0,2371996
204,20191023,00:00:00,737.0,749.9,731.8,749.9,2301655
205,20191024,00:00:00,748.7,759.9,745.7,759.9,2808980
206,20191025,00:00:00,757.1,760.0,740.1,749.6,2008166
207,20191028,00:00:00,752.2,755.9,740.7,749.9,1261327
208,20191029,00:00:00,749.0,752.0,744.6,752.0,1760583
209,20191030,00:00:00,748.9,759.8,743.2,759.8,1910918
210,20191031,00:00:00,759.5,764.0,746.3,748.2,2338612
211,20191101,00:00:00,747.2,755.4,741.1,755.4,1179205
212,20191105,00:00:00,758.0,773.0,756.0,773.0,1967932
213,20191106,00:00:00,771.6,787.0,765.6,787.0,1874119
214,20191107,00:00:00,782.4,799.7,777.0,797.9,2077132
215,20191108,00:00:00,797.2,799.4,778.3,782.2,1962655
216,20191111,00:00:00,781.1,783.2,771.4,778.8,1430210
217,20191112,00:00:00,779.4,786.0,773.0,777.4,1685879
218,20191113,00:00:00,769.9,774.4,767.8,772.7,953543
219,20191114,00:00:00,777.0,777.5,762.2,773.9,1973593
220,20191115,00:00:00,773.0,778.6,758.7,764.0,1740196
221,20191118,00:00:00,766.9,768.9,752.1,753.8,1500927
222,20191119,00:00:00,756.0,760.7,751.7,760.0,1148917
223,20191120,00:00:00,758.0,763.0,747.0,760.0,1497166
224,20191121,00:00:00,758.8,761.0,748.2,759.0,1709643
225,20191122,00:00:00,757.9,764.0,755.7,761.2,1562407
226,20191125,00:00:00,763.8,763.8,754.2,760.0,1038918
227,20191126,00:00:00,758.0,760.8,742.4,747.1,5553617
228,20191127,00:00:00,748.0,753.9,743.5,749.0,1526793
229,20191128,00:00:00,747.8,751.9,745.1,747.8,393751
230,20191129,00:00:00,748.0,748.2,738.5,740.4,1427749
231,20191202,00:00:00,744.0,749.9,741.8,747.9,1893121
232,20191203,00:00:00,747.9,749.7,734.2,734.2,1757363
