,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
169,20190904,00:00:00,992.8,999.4,983.2,986.6,909203
170,20190905,00:00:00,990.2,1005.0,988.8,1001.6,1083525
171,20190906,00:00:00,1001.0,1001.0,988.2,992.8,712597
172,20190909,00:00:00,1000.0,1001.6,994.0,998.2,676166
173,20190910,00:00:00,999.0,1006.0,993.6,1005.0,878233
174,20190911,00:00:00,1005.0,1023.8,1001.0,1022.0,1157795
175,20190912,00:00:00,1021.0,1022.8,1006.4,1018.6,1005839
176,20190913,00:00:00,1018.0,1019.0,1005.4,1014.0,1200629
177,20190916,00:00:00,991.0,1000.0,977.6,1000.0,1376385
178,20190917,00:00:00,998.0,999.6,990.2,998.8,806747
179,20190918,00:00:00,996.4,1003.6,980.4,986.8,976747
180,20190919,00:00:00,986.6,993.6,966.0,967.0,1713921
181,20190920,00:00:00,967.0,969.0,956.8,965.0,1124169
182,20190923,00:00:00,965.4,966.6,953.2,954.6,816818
183,20190924,00:00:00,956.0,965.4,940.8,942.2,1407675
184,20190925,00:00:00,941.2,948.6,935.0,945.0,1036139
185,20190926,00:00:00,947.0,953.2,942.6,950.8,673226
186,20190927,00:00:00,950.0,951.4,941.0,944.4,512047
187,20190930,00:00:00,946.0,950.2,933.2,933.2,968272
188,20191001,00:00:00,935.8,938.8,921.0,923.8,1315981
189,20191002,00:00:00,922.0,928.4,901.0,901.6,1720272
190,20191003,00:00:00,902.8,903.0,876.2,882.2,2285697
191,20191004,00:00:00,886.4,894.4,869.8,876.8,1436134
192,20191007,00:00:00,878.0,892.8,862.2,880.0,1589936
193,20191008,00:00:00,884.6,897.2,874.2,878.8,1533377
194,20191009,00:00:00,880.0,887.8,870.6,873.0,1019948
195,20191010,00:00:00,877.2,896.0,870.2,894.0,982710
196,20191011,00:00:00,898.4,906.4,889.6,893.4,1146541
197,20191014,00:00:00,898.0,899.6,879.0,881.0,692093
198,20191015,00:00:00,878.8,881.8,864.0,871.4,1705886
199,20191016,00:00:00,873.8,888.8,872.0,887.0,1106368
200,20191017,00:00:00,889.0,898.2,887.6,894.0,1051536
201,20191018,00:00:00,892.2,892.4,878.0,881.0,2398789
202,20191021,00:00:00,879.6,882.0,870.2,871.0,1291436
203,20191022,00:00:00,873.0,882.2,871.2,878.0,1109983
204,20191023,00:00:00,876.6,879.2,871.2,876.0,1013147
205,20191024,00:00:00,878.0,880.6,872.4,877.2,969785
206,20191025,00:00:00,876.0,879.4,872.6,878.4,1147107
207,20191028,00:00:00,880.0,898.2,878.2,886.0,1380104
208,20191029,00:00:00,889.0,906.2,881.6,903.4,1206496
209,20191030,00:00:00,903.0,905.6,890.4,895.0,1102900
210,20191031,00:00:00,897.0,902.0,880.2,882.2,1286300
211,20191101,00:00:00,885.2,893.2,882.2,893.2,631345
212,20191105,00:00:00,895.6,916.0,895.0,914.0,1552507
213,20191106,00:00:00,914.0,926.0,914.0,923.6,1616019
214,20191107,00:00:00,923.0,938.4,916.2,931.2,1805527
215,20191108,00:00:00,930.6,930.6,905.0,909.6,2352150
216,20191111,00:00:00,908.8,916.2,893.6,895.0,1905754
217,20191112,00:00:00,898.0,904.2,893.8,900.0,1396821
218,20191113,00:00:00,897.8,900.8,888.2,889.8,1279956
219,20191114,00:00:00,891.2,893.8,875.2,880.8,1654540
220,20191115,00:00:00,881.4,886.8,877.2,881.4,1062963
221,20191118,00:00:00,883.6,894.6,880.0,884.0,1273513
222,20191119,00:00:00,886.6,904.6,884.4,904.6,1935055
223,20191120,00:00:00,898.0,906.8,895.4,903.0,1198863
224,20191121,00:00:00,898.0,902.4,891.0,895.6,1239065
225,20191122,00:00:00,895.4,902.0,891.8,901.8,884250
226,20191125,00:00:00,903.8,919.0,903.0,917.0,1658957
227,20191126,00:00:00,915.0,920.8,906.0,909.6,2550027
228,20191127,00:00:00,913.0,915.0,906.0,911.2,796968
229,20191128,00:00:00,910.8,910.8,898.8,907.8,832097
230,20191129,00:00:00,907.6,909.4,900.0,908.0,1729597
231,20191202,00:00:00,884.2,891.0,878.6,885.0,1981557
232,20191203,00:00:00,881.8,885.8,870.4,874.6,1272662
233,20191204,00:00:00,877.2,878.4,865.0,875.4,960923
234,20191205,00:00:00,877.0,885.0,868.8,880.8,991366
235,20191206,00:00:00,881.0,885.0,878.0,883.0,626536
236,20191209,00:00:00,884.8,891.6,881.2,891.6,775515
237,20191210,00:00:00,891.6,892.0,885.0,888.8,1268365
238,20191211,00:00:00,889.6,897.8,886.8,896.6,958717
239,20191212,00:00:00,897.8,907.0,896.4,901.0,1351747
240,20191213,00:00:00,904.6,920.0,904.0,918.4,1500151
241,20191216,00:00:00,920.2,929.4,915.6,923.0,1015910
242,20191217,00:00:00,924.4,930.0,917.2,930.0,1273469
243,20191218,00:00:00,929.0,930.0,922.2,928.6,914723
244,20191219,00:00:00,928.8,928.8,914.6,928.4,1130058
245,20191220,00:00:00,926.6,928.0,919.0,926.4,567076
246,20191223,00:00:00,926.0,930.0,920.4,930.0,581211
247,20191224,00:00:00,929.2,936.0,925.6,927.4,387465
248,20191225,00:00:00,928.4,929.0,922.2,926.2,185208
249,20191226,00:00:00,927.4,929.8,924.2,929.4,262210
250,20191227,00:00:00,929.8,943.0,929.6,938.2,691949
251,20191230,00:00:00,940.6,943.8,936.0,937.6,477188
252,20200103,00:00:00,940.6,947.4,938.4,945.8,571782
253,20200106,00:00:00,945.0,945.6,923.2,929.0,737166
254,20200108,00:00:00,925.0,931.6,918.0,927.2,674513
255,20200109,00:00:00,927.0,937.0,927.0,928.2,1025618
256,20200110,00:00:00,932.0,937.4,928.4,937.4,461332
257,20200113,00:00:00,942.0,960.2,936.0,960.2,1324147
258,20200114,00:00:00,960.2,976.2,959.2,967.8,1739800
259,20200115,00:00:00,967.0,967.6,950.0,960.2,1423308
260,20200116,00:00:00,962.0,971.0,960.2,963.4,770934
261,20200117,00:00:00,964.8,978.0,961.0,977.2,1177289
262,20200120,00:00:00,979.0,1000.0,960.0,990.6,1248372
263,20200121,00:00:00,990.0,990.0,971.4,978.6,1110776
264,20200122,00:00:00,978.6,986.2,956.4,959.2,1197304
265,20200123,00:00:00,954.0,968.4,946.0,962.0,986630
266,20200124,00:00:00,964.4,973.0,955.8,956.2,534118
267,20200127,00:00:00,948.2,953.0,925.4,930.0,1292674
268,20200128,00:00:00,933.8,942.6,923.6,938.6,728600
269,20200129,00:00:00,945.0,947.6,933.6,941.2,628124
270,20200130,00:00:00,935.8,942.4,928.4,931.0,724703
271,20200131,00:00:00,940.0,941.2,911.4,911.4,1809154
272,20200203,00:00:00,909.6,918.2,904.2,904.2,1984283
273,20200204,00:00:00,908.2,924.8,908.0,912.4,1381123
274,20200205,00:00:00,916.0,934.6,912.0,923.4,1165669
275,20200206,00:00:00,927.2,934.6,918.2,925.0,1017521
276,20200207,00:00:00,927.0,935.4,920.0,935.4,904976
277,20200210,00:00:00,934.4,937.0,919.2,922.0,846016
278,20200211,00:00:00,926.8,932.4,923.0,923.4,955644
279,20200212,00:00:00,926.0,943.0,920.2,938.0,1336279
280,20200213,00:00:00,935.0,936.0,926.0,926.0,621619
281,20200214,00:00:00,929.8,933.2,921.4,928.0,507660
282,20200217,00:00:00,930.0,933.6,922.2,924.6,514272
283,20200218,00:00:00,922.8,924.4,913.2,914.6,834090
284,20200219,00:00:00,917.2,920.4,908.4,914.0,1104028
285,20200220,00:00:00,914.6,927.6,911.4,915.8,1259609
286,20200221,00:00:00,912.8,915.0,908.0,908.0,1180596
287,20200225,00:00:00,899.0,909.6,890.0,890.0,1656071
288,20200226,00:00:00,888.8,896.8,881.0,886.4,1848279
289,20200227,00:00:00,883.2,892.0,865.4,865.4,2320032
290,20200228,00:00:00,848.2,855.6,807.4,814.6,3881413
291,20200302,00:00:00,832.2,846.8,799.4,810.6,2444357
292,20200303,00:00:00,830.0,834.8,817.4,820.4,1955684
293,20200304,00:00:00,818.6,834.6,812.0,827.0,1263704
294,20200305,00:00:00,836.2,839.8,823.4,830.0,1702691
295,20200306,00:00:00,819.0,826.2,792.6,808.6,2150230
296,20200310,00:00:00,772.2,856.6,770.0,829.0,4343401
297,20200311,00:00:00,844.4,848.8,814.4,824.0,2470344
298,20200312,00:00:00,804.0,805.0,771.6,776.8,3265617
299,20200313,00:00:00,775.2,825.0,773.0,809.6,3031011
300,20200316,00:00:00,820.4,827.2,770.0,818.8,2179882
301,20200317,00:00:00,814.2,830.6,777.0,800.4,1918609
302,20200318,00:00:00,780.0,805.0,775.8,780.0,1904615
303,20200319,00:00:00,780.8,820.0,762.0,812.0,2197928
304,20200320,00:00:00,824.8,845.8,800.4,812.6,2195085
305,20200323,00:00:00,790.0,818.0,780.0,793.6,1424507
306,20200324,00:00:00,814.0,849.8,809.4,843.8,1875146
307,20200325,00:00:00,851.2,892.0,828.0,853.4,2297785
308,20200326,00:00:00,849.2,853.0,819.2,848.8,1330661
309,20200327,00:00:00,841.2,847.6,819.0,825.4,1021225
310,20200330,00:00:00,813.8,843.6,807.2,843.6,1003313
311,20200331,00:00:00,848.4,873.0,837.4,866.6,2173260
312,20200401,00:00:00,851.0,863.2,845.0,848.4,1202476
313,20200402,00:00:00,855.2,872.0,838.0,859.6,1166362
314,20200403,00:00:00,859.0,885.0,856.6,882.0,2013651
315,20200406,00:00:00,887.2,898.0,876.6,892.8,1050311
316,20200407,00:00:00,899.8,904.0,882.4,888.0,1638442
317,20200408,00:00:00,884.0,899.2,878.0,899.2,814115
318,20200409,00:00:00,900.2,905.0,885.2,905.0,1320865
319,20200410,00:00:00,903.0,903.0,892.8,900.0,307140
320,20200413,00:00:00,899.0,900.6,881.4,882.2,511902
321,20200414,00:00:00,890.0,901.4,887.8,899.0,953085
322,20200415,00:00:00,895.0,896.0,853.4,861.2,1297541
323,20200416,00:00:00,863.0,882.2,854.0,857.4,1391727
324,20200417,00:00:00,869.4,877.2,862.2,864.6,601314
325,20200420,00:00:00,862.2,880.8,858.6,874.2,995440
326,20200421,00:00:00,871.8,871.8,850.4,866.0,1412422
327,20200422,00:00:00,865.4,879.0,861.2,868.6,1454204
328,20200423,00:00:00,873.6,874.6,860.0,870.0,995733
329,20200424,00:00:00,869.4,870.8,861.0,862.4,998086
330,20200427,00:00:00,866.8,874.8,863.2,869.0,890310
331,20200428,00:00:00,869.0,886.0,864.2,870.0,1260038
332,20200429,00:00:00,875.8,890.8,870.6,875.6,1196939
333,20200430,00:00:00,880.0,892.4,870.4,889.6,1425158
334,20200504,00:00:00,881.0,881.2,866.0,871.0,878775
335,20200505,00:00:00,876.2,880.8,870.4,873.2,540599
336,20200506,00:00:00,877.2,883.4,870.0,870.6,817592
337,20200507,00:00:00,872.8,881.6,869.2,869.2,1105964
338,20200508,00:00:00,872.8,873.8,866.6,871.4,516150
339,20200512,00:00:00,863.0,867.6,853.4,853.4,1364184
340,20200513,00:00:00,852.0,853.6,838.0,838.0,989968
341,20200514,00:00:00,837.8,841.0,818.4,823.4,1567504
342,20200515,00:00:00,828.6,842.6,824.2,824.2,1153729
343,20200518,00:00:00,831.6,861.0,831.4,861.0,1124552
344,20200519,00:00:00,861.4,868.4,855.0,862.4,1003017
345,20200520,00:00:00,861.2,885.2,855.0,884.4,1121892
346,20200521,00:00:00,884.4,895.8,862.0,863.6,1392091
347,20200522,00:00:00,857.2,875.0,854.2,872.0,1177229
348,20200525,00:00:00,874.0,909.0,873.0,908.0,1508252
349,20200526,00:00:00,909.4,923.0,905.0,905.0,1991582
350,20200527,00:00:00,911.8,923.0,906.4,919.4,1229239
351,20200528,00:00:00,922.2,940.0,915.4,940.0,1340639
352,20200529,00:00:00,937.0,940.0,922.4,934.6,1983073
353,20200601,00:00:00,940.2,946.2,928.0,939.0,963071
354,20200602,00:00:00,938.4,948.0,937.4,945.0,988334
355,20200603,00:00:00,950.6,954.6,941.6,954.6,1458229
356,20200604,00:00:00,950.8,953.2,934.4,940.6,1156830
357,20200605,00:00:00,945.4,951.8,942.4,949.0,696456
358,20200608,00:00:00,952.2,956.6,944.0,944.0,1138314
359,20200609,00:00:00,946.6,954.0,938.0,948.0,1287544
360,20200610,00:00:00,949.0,952.8,942.6,950.4,1205084
361,20200611,00:00:00,944.8,950.0,936.2,939.0,2364992
362,20200615,00:00:00,885.2,892.4,876.4,879.2,2116874
363,20200616,00:00:00,884.8,897.0,880.0,880.0,1490933
364,20200617,00:00:00,884.2,889.2,876.6,883.6,1300048
365,20200618,00:00:00,884.4,884.8,869.2,874.4,1384889
366,20200619,00:00:00,879.4,882.6,871.6,872.2,1807317
367,20200622,00:00:00,873.2,874.0,862.2,870.6,1162560
368,20200623,00:00:00,870.4,878.0,868.0,872.0,753352
369,20200625,00:00:00,866.0,867.4,856.4,861.4,1224858
370,20200626,00:00:00,863.4,864.8,847.2,851.6,1321799
371,20200629,00:00:00,850.0,855.0,841.0,854.8,871282
372,20200630,00:00:00,855.4,870.8,852.6,864.0,1291231
373,20200702,00:00:00,868.0,874.8,863.6,869.0,653764
374,20200703,00:00:00,868.6,887.8,866.0,884.2,896375
375,20200706,00:00:00,892.0,906.0,890.2,901.0,1599608
376,20200707,00:00:00,902.4,903.6,881.4,892.2,869804
377,20200708,00:00:00,892.2,897.4,886.0,894.0,499286
378,20200709,00:00:00,894.0,896.8,867.8,876.2,1012496
379,20200710,00:00:00,868.2,882.4,866.8,880.2,615531
380,20200713,00:00:00,883.0,889.0,870.6,872.8,571640
381,20200714,00:00:00,875.0,879.2,862.4,876.0,896282
382,20200715,00:00:00,880.0,891.0,875.4,883.8,839250
383,20200716,00:00:00,877.6,884.6,874.0,879.8,644067
384,20200717,00:00:00,880.2,884.0,875.4,878.2,427054
385,20200720,00:00:00,878.6,887.6,874.0,887.6,750426
386,20200721,00:00:00,890.4,902.4,890.4,894.2,1074955
387,20200722,00:00:00,896.0,899.6,886.6,896.6,886166
388,20200723,00:00:00,899.8,901.6,889.0,889.6,896868
389,20200724,00:00:00,889.6,897.0,885.2,894.2,611121
390,20200727,00:00:00,894.8,912.6,893.8,909.6,897730
391,20200728,00:00:00,912.2,925.2,911.6,919.2,1171952
392,20200729,00:00:00,921.8,928.6,915.6,925.4,869730
393,20200730,00:00:00,925.4,925.6,896.0,908.4,1280365
394,20200731,00:00:00,911.4,920.0,904.0,912.6,990108
395,20200803,00:00:00,913.0,920.0,910.0,916.8,672093
396,20200804,00:00:00,920.6,935.0,918.0,934.6,1192097
397,20200805,00:00:00,935.0,942.0,929.4,940.6,1144306
398,20200806,00:00:00,941.0,946.0,933.6,939.8,706132
399,20200807,00:00:00,937.6,940.0,912.4,924.8,1189821
400,20200810,00:00:00,926.0,934.0,925.2,933.2,629321
401,20200811,00:00:00,934.2,952.0,933.2,944.4,1728589
402,20200812,00:00:00,942.2,978.0,941.8,973.6,1697250
403,20200813,00:00:00,974.0,976.6,962.8,970.0,1112247
404,20200814,00:00:00,972.0,974.0,956.2,965.6,795978
405,20200817,00:00:00,969.8,974.0,957.2,968.4,794395
406,20200818,00:00:00,965.8,971.0,959.4,960.8,936158
407,20200819,00:00:00,962.8,974.0,956.6,966.0,745336
408,20200820,00:00:00,963.6,968.4,951.8,957.8,827481
409,20200821,00:00:00,959.0,963.8,946.6,960.2,763812
410,20200824,00:00:00,964.6,969.0,961.2,962.6,522567
411,20200825,00:00:00,966.6,968.8,955.8,962.8,721601
412,20200826,00:00:00,963.8,965.0,956.2,962.4,637743
413,20200827,00:00:00,962.8,964.8,948.6,952.2,789027
414,20200828,00:00:00,953.0,953.4,941.0,943.6,550327
415,20200831,00:00:00,945.2,952.2,929.2,931.0,1371331
416,20200901,00:00:00,932.2,947.6,919.6,946.4,1332080
417,20200902,00:00:00,948.0,959.4,941.0,951.0,1350493
